MUNICIPIOS,Pib percapita 2021
Estado do Parana,47422
Abatia,30141
Adrianopolis,63631
Agudos do Sul,22674
Almirante Tamandare,15948
Altamira do Parana,67333
Alto Paraiso,43224
Alto Parana,29193
Alto Piquiri,42093
Altonia,20748
Alvorada do Sul,29176
Amapora,18912
Ampere,38549
Anahy,41476
Andira,41192
angulo,52613
Antonina,37048
Antonio Olinto,31446
Apucarana,28190
Arapongas,39150
Arapoti,50825
Arapua,51561
Araruna,39018
Araucaria,170126
Ariranha do Ivai,63665
Assai,36478
Assis Chateaubriand,49040
Astorga,33568
Atalaia,45807
Balsa Nova,69967
Bandeirantes,33274
Barbosa Ferraz,26525
Barra do Jacare,53995
Barracao,25539
Bela Vista da Caroba,31414
Bela Vista do Paraiso,34014
Bituruna,33659
Boa Esperanca,71587
Boa Esperanca do Iguacu,58522
Boa Ventura de Sao Roque,56993
Boa Vista da Aparecida,24633
Bocaiuva do Sul,21066
Bom Jesus do Sul,33319
Bom Sucesso,22143
Bom Sucesso do Sul,92500
Borrazopolis,39061
Braganey,45249
Brasilandia do Sul,109465
Cafeara,38365
Cafelandia,103779
Cafezal do Sul,37483
California,29305
Cambara,32034
Cambe,46520
Cambira,35174
Campina da Lagoa,41647
Campina do Simao,39254
Campina Grande do Sul,49376
Campo Bonito,60821
Campo do Tenente,32186
Campo Largo,42258
Campo Magro,17965
Campo Mourao,53563
Candido de Abreu,28869
Candoi,52715
Cantagalo,25185
Capanema,57726
Capitao Leonidas Marques,79031
Carambei,65176
Carlopolis,31872
Cascavel,46976
Castro,50348
Catanduvas,35092
Centenario do Sul,40960
Cerro Azul,22652
Ceu Azul,79413
Chopinzinho,47651
Cianorte,35772
Cidade Gaucha,33349
Clevelandia,51274
Colombo,22843
Colorado,32809
Congonhinhas,32108
Conselheiro Mairinck,39177
Contenda,29222
Corbelia,62010
Cornelio Procopio,37883
Coronel Domingos Soares,42948
Coronel Vivida,43434
Corumbatai do Sul,28866
Cruz Machado,26907
Cruzeiro do Iguacu,41898
Cruzeiro do Oeste,40999
Cruzeiro do Sul,46357
Cruzmaltina,52273
Curitiba,49907
Curiuva,18056
Diamante do Norte,59944
Diamante do Sul,21926
Diamante D'Oeste,24256
Dois Vizinhos,48922
Douradina,93597
Doutor Camargo,33469
Doutor Ulysses,17959
Eneas Marques,52715
Engenheiro Beltrao,40584
Entre Rios do Oeste,67334
Esperanca Nova,39954
Espigao Alto do Iguacu,40911
Farol,72035
Faxinal,28779
Fazenda Rio Grande,31927
Fenix,44968
Fernandes Pinheiro,45649
Figueira,21181
Flor da Serra do Sul,39856
Florai,49001
Floresta,39149
Florestopolis,38640
Florida,29747
Formosa do Oeste,58437
Foz do Iguacu,73534
Foz do Jordao,41214
Francisco Alves,48899
Francisco Beltrao,39597
General Carneiro,32611
Godoy Moreira,25416
Goioere,37392
Goioxim,44184
Grandes Rios,32114
Guaira,34033
Guairaca,41008
Guamiranga,33226
Guapirama,46978
Guaporema,34904
Guaraci,40288
Guaraniacu,42781
Guarapuava,45220
Guaraquecaba,15643
Guaratuba,25866
Honorio Serpa,59356
Ibaiti,27578
Ibema,28551
Ibipora,59502
Icaraima,32253
Iguaracu,47491
Iguatu,37320
Imbau,20535
Imbituva,38757
Inacio Martins,23903
Inaja,18681
Indianopolis,113475
Ipiranga,40140
Ipora,43769
Iracema do Oeste,87715
Irati,37213
Iretama,35317
Itaguaje,27518
Itaipulandia,45292
Itambaraca,34321
Itambe,37373
Itapejara d'Oeste,61623
Itaperucu,21258
Itauna do Sul,32504
Ivai,35428
Ivaipora,29727
Ivate,24590
Ivatuba,43530
Jaboti,30019
Jacarezinho,40698
Jaguapita,75710
Jaguariaiva,50833
Jandaia do Sul,37132
Janiopolis,48899
Japira,33157
Japura,33552
Jardim Alegre,33805
Jardim Olinda,43584
Jataizinho,22283
Jesuitas,53568
Joaquim Tavora,56093
Jundiai do Sul,39431
Juranda,60871
Jussara,57314
Kalore,41457
Lapa,58401
Laranjal,19764
Laranjeiras do Sul,31952
Leopolis,58364
Lidianopolis,39839
Lindoeste,44761
Loanda,29838
Lobato,44449
Londrina,40637
Luiziana,75777
Lunardelli,30292
Lupionopolis,26466
Mallet,55372
Mambore,61490
Mandaguacu,29426
Mandaguari,53014
Mandirituba,23966
Manfrinopolis,33367
Mangueirinha,107007
Manoel Ribas,39322
Marechal Candido Rondon,54115
Maria Helena,24040
Marialva,73526
Marilandia do Sul,53048
Marilena,24602
Mariluz,27537
Maringa,51909
Mariopolis,66105
Maripa,85964
Marmeleiro,44086
Marquinho,26025
Marumbi,22127
Matelandia,60025
Matinhos,24992
Mato Rico,39211
Maua da Serra,33993
Medianeira,52027
Mercedes,49535
Mirador,58095
Miraselva,29302
Missal,43570
Moreira Sales,25587
Morretes,23612
Munhoz de Melo,33947
Nossa Senhora das Gracas,24826
Nova Alianca do Ivai,33292
Nova America da Colina,28507
Nova Aurora,80919
Nova Cantu,72116
Nova Esperanca,33613
Nova Esperanca do Sudoeste,32870
Nova Fatima,38787
Nova Laranjeiras,26898
Nova Londrina,33588
Nova Olimpia,18683
Nova Prata do Iguacu,46730
Nova Santa Barbara,25733
Nova Santa Rosa,52914
Nova Tebas,36140
Novo Itacolomi,32235
Ortigueira,125166
Ourizona,48702
Ouro Verde do Oeste,52790
Paicandu,25035
Palmas,30791
Palmeira,48143
Palmital,25940
Palotina,86940
Paraiso do Norte,26547
Paranacity,27860
Paranagua,86717
Paranapoema,28083
Paranavai,35549
Pato Bragado,42313
Pato Branco,53649
Paula Freitas,74045
Paulo Frontin,53484
Peabiru,32408
Perobal,45512
Perola,31537
Perola d'Oeste,38185
Pien,70454
Pinhais,59080
Pinhal de Sao Bento,29269
Pinhalao,39774
Pinhao,54851
Pirai do Sul,46229
Piraquara,13213
Pitanga,38431
Pitangueiras,36948
Planaltina do Parana,24276
Planalto,31778
Ponta Grossa,54317
Pontal do Parana,22903
Porecatu,44031
Porto Amazonas,33302
Porto Barreiro,54269
Porto Rico,42532
Porto Vitoria,24341
Prado Ferreira,44914
Pranchita,65434
Presidente Castelo Branco,27324
Primeiro de Maio,33335
Prudentopolis,29783
Quarto Centenario,82131
Quatigua,28269
Quatro Barras,80039
Quatro Pontes,62722
Quedas do Iguacu,42256
Querencia do Norte,21471
Quinta do Sol,57940
Quitandinha,26262
Ramilandia,25286
Rancho Alegre,49379
Rancho Alegre D'Oeste,90246
Realeza,43774
Reboucas,35786
Renascenca,62395
Reserva,28122
Reserva do Iguacu,31998
Ribeirao Claro,36125
Ribeirao do Pinhal,26270
Rio Azul,47275
Rio Bom,33009
Rio Bonito do Iguacu,33349
Rio Branco do Ivai,28043
Rio Branco do Sul,42154
Rio Negro,37478
Rolandia,52448
Roncador,63313
Rondon,36226
Rosario do Ivai,28266
Sabaudia,101429
Salgado Filho,36693
Salto do Itarare,21322
Salto do Lontra,35429
Santa Amelia,31442
Santa Cecilia do Pavao,47194
Santa Cruz de Monte Castelo,48685
Santa Fe,25928
Santa Helena,54197
Santa Ines,32841
Santa Isabel do Ivai,29838
Santa Izabel do Oeste,31293
Santa Lucia,36922
Santa Maria do Oeste,29026
Santa Mariana,42792
Santa Monica,22463
Santa Tereza do Oeste,57894
Santa Terezinha de Itaipu,28729
Santana do Itarare,34910
Santo Antonio da Platina,32378
Santo Antonio do Caiua,20707
Santo Antonio do Paraiso,52082
Santo Antonio do Sudoeste,31853
Santo Inacio,98143
Sao Carlos do Ivai,56895
Sao Jeronimo da Serra,29123
Sao Joao,87991
Sao Joao do Caiua,26569
Sao Joao do Ivai,36498
Sao Joao do Triunfo,37736
Sao Jorge do Ivai,72508
Sao Jorge do Patrocinio,26281
Sao Jorge d'Oeste,52567
Sao Jose da Boa Vista,37580
Sao Jose das Palmeiras,27502
Sao Jose dos Pinhais,80717
Sao Manoel do Parana,28800
Sao Mateus do Sul,32181
Sao Miguel do Iguacu,53083
Sao Pedro do Iguacu,43023
Sao Pedro do Ivai,33319
Sao Pedro do Parana,39883
Sao Sebastiao da Amoreira,33860
Sao Tome,28293
Sapopema,22942
Sarandi,20962
Saudade do Iguacu,140973
Senges,34197
Serranopolis do Iguacu,65325
Sertaneja,80884
Sertanopolis,41980
Siqueira Campos,32902
Sulina,55046
Tamarana,25634
Tamboara,24313
Tapejara,30139
Tapira,28143
Teixeira Soares,48306
Telemaco Borba,60972
Terra Boa,32909
Terra Rica,22059
Terra Roxa,50881
Tibagi,69611
Tijucas do Sul,33329
Toledo,51746
Tomazina,42106
Tres Barras do Parana,36224
Tunas do Parana,15551
Tuneiras do Oeste,27493
Tupassi,53233
Turvo,46363
Ubirata,82368
Umuarama,36184
Uniao da Vitoria,33608
Uniflor,38082
Urai,32749
Ventania,28338
Vera Cruz do Oeste,40664
Vere,70446
Virmond,46838
Vitorino,72445
Wenceslau Braz,36742
Xambre,21427
